Row Labels,Sum of Quantity
9,34
10,47
11,65
12,58
13,5
16,17
17,30
18,38
5/22/2021,803
7,51
8,141
9,126
10,137
11,147
12,66
13,32
15,3
16,47
17,13
18,36
19,4
5/23/2021,1272
7,44
8,223
9,260
10,232
11,319
12,178
13,16
5/24/2021,1003
7,32
8,133
9,230
10,211
11,290
12,98
13,9
5/25/2021,486
7,34
8,59
9,63
10,92
11,99
12,56
13,6
16,25
17,24
18,28
5/26/2021,337
7,8
8,23
9,32
10,50
11,73
12,75
13,9
16,20
17,22
18,24
19,1
5/27/2021,412
7,11
8,68
9,50
10,57
11,74
12,60
13,3
16,11
17,43
18,34
19,1
5/28/2021,475
7,14
8,34
9,68
10,65
11,102
12,76
13,15
16,24
17,39
18,38
5/29/2021,686
7,34
8,83
9,131
10,120
11,152
12,66
13,23
16,29
17,19
18,29
5/30/2021,966
7,31
8,206
9,226
10,213
11,195
12,92
13,3
5/31/2021,424
7,8
8,67
9,38
10,92
11,52
12,70
13,13
16,29
17,24
18,31
6/1/2021,414
7,6
8,75
9,44
10,93
11,52
12,64
13,9
16,16
17,26
18,29
6/2/2021,356
7,31
8,28
9,41
10,53
11,46
12,78
13,12
16,19
17,24
18,24
6/3/2021,361
7,6
8,61
9,31
10,51
11,70
12,63
13,8
16,16
17,37
18,18
6/4/2021,525
7,9
8,28
9,101
10,85
11,86
12,103
13,15
15,6
16,26
17,43
18,23
6/5/2021,663
7,32
8,111
9,134
10,128
11,107
12,41
13,19
15,7
16,22
17,35
18,26
19,1
6/6/2021,999
7,44
8,180
9,261
10,244
11,175
12,95
6/7/2021,415
7,24
8,46
9,33
10,62
11,69
12,58
13,10
16,44
17,44
18,25
6/8/2021,459
7,20
8,70
9,56
10,65
11,77
12,72
13,12
16,25
17,30
18,32
6/9/2021,402
7,47
8,60
9,63
10,55
11,68
12,47
13,10
16,17
17,13
18,22
6/10/2021,397
7,24
8,37
9,48
10,69
11,79
12,52
13,6
16,34
17,22
18,24
19,2
6/11/2021,462
7,29
8,74
9,55
10,78
11,82
12,64
13,15
16,25
17,32
18,8
6/12/2021,642
7,32
8,167
9,96
10,118
11,134
12,83
13,12
6/13/2021,1063
7,39
8,214
9,304
10,276
11,137
12,87
13,6
6/14/2021,480
7,13
8,87
9,94
10,71
11,59
12,68
13,7
15,4
16,21
17,25
18,31
6/15/2021,451
7,10
8,108
9,40
10,65
11,80
12,67
13,10
16,25
17,25
18,19
19,2
6/16/2021,434
7,17
8,51
9,82
10,78
11,77
12,57
13,5
16,29
17,9
18,29
6/17/2021,378
7,19
8,38
9,56
10,50
11,87
12,54
13,12
16,16
17,24
18,16
19,6
6/18/2021,438
7,3
8,64
9,39
10,48
11,85
12,83
13,7
16,29
17,48
18,32
6/19/2021,654
7,38
8,72
9,125
10,153
11,91
12,76
13,4
16,12
17,24
18,58
19,1
6/20/2021,1004
7,30
8,211
9,211
10,225
11,234
12,89
13,4
6/21/2021,501
7,27
8,51
9,49
10,72
11,96
12,72
13,31
15,4
16,31
17,35
18,33
6/22/2021,445
7,4
8,58
9,30
10,43
11,71
12,66
13,23
16,84
17,45
18,21
6/23/2021,386
7,8
8,35
9,39
10,52
11,70
12,76
13,13
16,25
17,41
18,27
6/24/2021,513
7,12
8,43
9,94
10,62
11,89
12,73
13,18
16,29
17,64
18,26
19,3
6/25/2021,488
8,74
9,49
10,66
11,119
12,83
13,5
15,3
16,39
17,31
18,19
6/26/2021,663
7,43
8,81
9,122
10,122
11,117
12,71
13,14
16,24
17,40
18,29
6/27/2021,1092
7,65
8,189
9,199
10,255
11,254
12,124
13,6
6/28/2021,444
7,27
8,60
9,67
10,70
11,36
12,70
13,19
16,25
17,39
18,31
6/29/2021,415
7,12
8,44
9,64
10,67
11,47
12,92
13,12
16,19
17,25
18,33
6/30/2021,425
7,3
8,39
9,42
10,69
11,69
12,95
13,14
16,37
17,30
18,27
7/1/2021,553
7,27
8,94
9,70
10,75
11,65
12,82
13,12
16,11
17,102
18,11
19,4
7/2/2021,455
7,31
8,75
9,51
10,52
11,94
12,41
13,26
16,30
17,27
18,28
7/3/2021,759
7,15
8,89
9,155
10,180
11,68
12,100
13,27
15,7
16,49
17,38
18,23
19,8
7/4/2021,982
7,35
8,158
9,196
10,213
11,224
12,147
13,9
7/5/2021,582
7,21
8,61
9,92
10,103
11,131
12,74
13,6
16,16
17,44
18,33
19,1
7/6/2021,556
7,31
8,61
9,59
10,60
11,125
12,95
13,21
16,36
17,35
18,31
19,2
7/7/2021,564
7,25
8,70
9,105
10,84
11,89
12,71
13,9
15,1
16,37
17,26
18,44
19,3
7/8/2021,605
7,22
8,74
9,81
10,95
11,120
12,93
13,12
16,26
17,50
18,22
19,10
7/9/2021,699
7,18
8,82
9,91
10,108
11,168
12,96
13,18
16,37
17,37
18,42
19,2
7/10/2021,956
7,70
8,97
9,149
10,137
11,193
12,146
13,45
16,32
17,55
18,32
7/11/2021,1367
7,45
